Country,Variety,AvgPrice,AvgPoints,Tastings
Portugal,Petit Verdot,30 ,90 ,9 
Portugal,Sparkling Blend,23 ,87 ,9 
Slovenia,Ribolla Gialla,20 ,88 ,9 
Slovenia,Sauvignon Blanc,18 ,87 ,9 
Spain,Cabernet Sauvignon-Merlot,16 ,88 ,9 
Spain,Bordeaux-style Red Blend,45 ,87 ,9 
Spain,Tempranillo Blanco,29 ,84 ,9 
United States,Carignan,33 ,89 ,9 
United States,Fiano,21 ,88 ,9 
United States,Johannisberg Riesling,9 ,86 ,9 
Argentina,Cabernet Blend,36 ,88 ,8 
Argentina,Champagne Blend,23 ,85 ,8 
Argentina,Shiraz,9 ,84 ,8 
Australia,Champagne Blend,24 ,86 ,8 
Brazil,Sparkling Blend,29 ,86 ,8 
Canada,Vidal,45 ,91 ,8 
Chile,Carmenère-Cabernet Sauvignon,27 ,88 ,8 
Croatia,Malvasia,19 ,88 ,8 
Croatia,Posip,25 ,88 ,8 
France,Altesse,18 ,89 ,8 
France,Colombard-Ugni Blanc,10 ,85 ,8 
Germany,Scheurebe,20 ,88 ,8 
Germany,Red Blend,20 ,87 ,8 
Hungary,Red Blend,35 ,87 ,8 
Italy,Petit Verdot,38 ,90 ,8 
Italy,Cesanese d'Affile,22 ,88 ,8 
Italy,Nosiola,31 ,88 ,8 
Italy,Manzoni,23 ,87 ,8 
Mexico,Cabernet Sauvignon,33 ,84 ,8 
Moldova,Cabernet Sauvignon,14 ,88 ,8 
Morocco,Red Blend,19 ,90 ,8 
Portugal,Sousão,37 ,88 ,8 
Portugal,White Blend,21 ,88 ,8 
South Africa,Riesling,18 ,88 ,8 
Spain,Garnacha Tintorera,17 ,87 ,8 
Spain,Muscat,18 ,87 ,8 
Spain,Tempranillo-Shiraz,14 ,85 ,8 
Turkey,Okuzgozu,24 ,90 ,8 
United States,Picpoul,28 ,90 ,8 
United States,Syrah-Viognier,48 ,90 ,8 
United States,Cabernet Merlot,13 ,85 ,8 
United States,Chardonnay-Viognier,23 ,85 ,8 
Argentina,Malbec-Merlot,21 ,86 ,7 
Australia,Mourvèdre,50 ,91 ,7 
Australia,Tokay,47 ,91 ,7 
Austria,Grauburgunder,30 ,89 ,7 
Brazil,Merlot,19 ,84 ,7 
Bulgaria,Mavrud,14 ,88 ,7 
Canada,Cabernet Sauvignon,47 ,90 ,7 
Chile,Carmenère-Syrah,23 ,87 ,7 
Chile,Pedro Ximénez,11 ,84 ,7 
England,Pinot Noir,50 ,92 ,7 
France,Duras,21 ,88 ,7 
France,Mauzac,18 ,88 ,7 
France,Merlot-Cabernet Sauvignon,13 ,87 ,7 
Israel,Pinot Noir,18 ,86 ,7 
Italy,Mantonico,28 ,88 ,7 
Italy,Nascetta,27 ,88 ,7 
Italy,Trebbiano Spoletino,22 ,88 ,7 
Italy,Cabernet,13 ,87 ,7 
Italy,Tocai Friulano,38 ,87 ,7 
Mexico,Sauvignon Blanc,15 ,85 ,7 
Portugal,Bual,100 ,94 ,7 
Portugal,Red Blend,22 ,89 ,7 
Portugal,Touriga Franca,27 ,89 ,7 
Slovenia,Pinot Noir,19 ,88 ,7 
Spain,Tempranillo-Merlot,19 ,85 ,7 
Switzerland,,85 ,89 ,7 
Turkey,Narince,21 ,87 ,7 
United States,Monastrell,29 ,91 ,7 
United States,Cabernet Sauvignon-Sangiovese,42 ,89 ,7 
United States,Mission,53 ,89 ,7 
United States,Lagrein,35 ,88 ,7 
United States,Syrah-Cabernet,38 ,88 ,7 
United States,Viognier-Roussanne,26 ,88 ,7 
United States,Zweigelt,28 ,88 ,7 
United States,Muskat Ottonel,21 ,86 ,7 
Argentina,Chardonnay-Viognier,17 ,85 ,6 
Australia,Muscadelle,160 ,94 ,6 
Australia,Mataro,62 ,91 ,6 
Australia,Roussanne,45 ,89 ,6 
Australia,Sangiovese,16 ,88 ,6 
Australia,Petite Sirah,21 ,87 ,6 
Austria,Morillon,31 ,90 ,6 
Brazil,Tannat,14 ,84 ,6 
Canada,Meritage,42 ,91 ,6 
Chile,Petit Verdot,52 ,89 ,6 
Chile,Syrah-Cabernet,17 ,87 ,6 
Chile,Syrah-Cabernet Sauvignon,24 ,87 ,6 
Chile,Chardonnay-Viognier,12 ,84 ,6 
Croatia,Red Blend,24 ,88 ,6 
France,Mourvèdre,41 ,91 ,6 
France,Cabernet-Syrah,30 ,89 ,6 
France,Chasselas,21 ,89 ,6 
France,G-S-M,23 ,89 ,6 
France,Sémillon,15 ,87 ,6 
Georgia,Kisi,20 ,87 ,6 
Germany,Rieslaner,39 ,90 ,6 
Germany,Grauburgunder,20 ,88 ,6 
Greece,Merlot,39 ,88 ,6 
Greece,Syrah,22 ,87 ,6 
Greece,Cabernet Sauvignon,21 ,86 ,6 
Greece,Sauvignon Blanc,25 ,86 ,6 
Hungary,Bordeaux-style Red Blend,46 ,88 ,6 
Israel,Carignan,44 ,90 ,6 
Israel,Cabernet Franc,33 ,88 ,6 
Israel,Cabernet Sauvignon-Shiraz,22 ,88 ,6 
Italy,Moscadello,40 ,90 ,6 
Italy,Nerello Cappuccio,37 ,90 ,6 
Italy,Susumaniello,31 ,90 ,6 
Italy,Verduzzo,33 ,90 ,6 
Italy,Tempranillo,31 ,89 ,6 
Italy,Prié Blanc,24 ,88 ,6 
Italy,Malvasia Nera,39 ,87 ,6 
Italy,Pinot Noir,25 ,87 ,6 
Italy,Greco Bianco,17 ,86 ,6 
Mexico,Nebbiolo,24 ,86 ,6 
Moldova,White Blend,25 ,88 ,6 
Portugal,Jaen,33 ,90 ,6 
Portugal,Moscatel Roxo,22 ,90 ,6 
Portugal,Avesso,16 ,88 ,6 
Romania,Feteasca Neagra,16 ,88 ,6 
Slovenia,Pinot Grigio,12 ,88 ,6 
South Africa,Sémillon,32 ,90 ,6 
South Africa,Merlot-Cabernet Sauvignon,11 ,87 ,6 
South Africa,Chenin Blanc-Sauvignon Blanc,11 ,85 ,6 
Spain,Carignan-Grenache,32 ,89 ,6 
Spain,Grenache Blanc,27 ,87 ,6 
Spain,Maturana,58 ,87 ,6 
Spain,Garnacha-Tempranillo,11 ,86 ,6 
Spain,Syrah-Grenache,16 ,86 ,6 
Spain,Grenache Blend,13 ,85 ,6 
Spain,Malvasia,19 ,85 ,6 
Turkey,Syrah,32 ,90 ,6 
Ukraine,Sparkling Blend,11 ,83 ,6 
United States,Pinot-Chardonnay,29 ,90 ,6 
United States,Syrah-Tempranillo,44 ,90 ,6 
United States,Cabernet-Syrah,26 ,89 ,6 
United States,Merlot-Cabernet,24 ,89 ,6 
United States,Alicante Bouschet,28 ,88 ,6 
United States,Malbec-Merlot,28 ,87 ,6 
United States,Tempranillo Blend,26 ,87 ,6 
United States,Valdiguié,19 ,87 ,6 
United States,Sangiovese-Cabernet Sauvignon,30 ,86 ,6 
United States,Blanc du Bois,27 ,85 ,6 
Uruguay,Albariño,22 ,87 ,6 
Uruguay,Tannat-Merlot,18 ,87 ,6 
Argentina,Cabernet Sauvignon-Merlot,19 ,87 ,5 
Argentina,Chenin Blanc-Chardonnay,11 ,86 ,5 
Argentina,Malbec-Bonarda,18 ,86 ,5 
Australia,Marsanne,25 ,89 ,5 
Australia,Rhône-style White Blend,22 ,88 ,5 
Australia,Cabernet Merlot,23 ,87 ,5 
Australia,Malbec,66 ,87 ,5 
Australia,Verdelho,15 ,87 ,5 
Austria,Sämling,36 ,91 ,5 
Austria,Roter Traminer,30 ,90 ,5 
Austria,Zierfandler-Rotgipfler,24 ,90 ,5 
Austria,Cabernet Sauvignon,31 ,87 ,5 
Brazil,Champagne Blend,26 ,86 ,5 
Brazil,Chardonnay,25 ,84 ,5 
Canada,Red Blend,29 ,91 ,5 
Canada,White Blend,20 ,88 ,5 
Chile,Cabernet Sauvignon-Cabernet Franc,28 ,90 ,5 
Chile,Viognier-Chardonnay,15 ,84 ,5 
Chile,Pinot Grigio,12 ,83 ,5 
Croatia,Teran,28 ,88 ,5 
CyprUnited States,White Blend,14 ,87 ,5 
France,Braucol,27 ,91 ,5 
France,Sciaccerellu,37 ,89 ,5 
France,Tannat-Merlot,19 ,89 ,5 
France,Carignan,20 ,88 ,5 
France,Trousseau,33 ,87 ,5 
Germany,Chardonnay,28 ,89 ,5 
Germany,Lemberger,35 ,88 ,5 
Greece,Savatiano,14 ,87 ,5 
Greece,Viognier,33 ,87 ,5 
Greece,Mavrodaphne,16 ,86 ,5 
Israel,Gewürztraminer,25 ,89 ,5 
Israel,Viognier,18 ,88 ,5 
Italy,Timorasso,42 ,91 ,5 
Italy,Grüner Veltliner,24 ,88 ,5 
Italy,Pallagrello Bianco,32 ,88 ,5 
Italy,Pallagrello Nero,41 ,88 ,5 
Italy,Aleatico,40 ,87 ,5 
Italy,Alicante,23 ,87 ,5 
Italy,Casavecchia,46 ,87 ,5 
Italy,Shiraz,17 ,87 ,5 
Italy,Verdeca,16 ,86 ,5 
Lebanon,Rosé,18 ,87 ,5 
Moldova,Muscat,9 ,85 ,5 
Morocco,Sauvignon Blanc,18 ,88 ,5 
New Zealand,Grüner Veltliner,20 ,89 ,5 
New Zealand,Rosé,17 ,86 ,5 
Portugal,Bordeaux-style Red Blend,41 ,93 ,5 
Portugal,Viosinho,23 ,88 ,5 
Portugal,Alvarinho-Chardonnay,11 ,87 ,5 
Romania,Moscato,7 ,86 ,5 
South Africa,Champagne Blend,17 ,87 ,5 
South Africa,Shiraz-Cabernet Sauvignon,21 ,87 ,5 
Spain,Cabernet Blend,90 ,89 ,5 
Spain,Carineña,22 ,86 ,5 
Spain,Sauvignon,15 ,86 ,5 
Spain,Verdejo-Sauvignon Blanc,10 ,85 ,5 
United States,Grenache-Carignan,26 ,91 ,5 
United States,Dornfelder,35 ,90 ,5 
United States,Torrontés,27 ,90 ,5 
United States,Rosato,21 ,88 ,5 
United States,Sangiovese-Syrah,50 ,88 ,5 
United States,Gamay,33 ,87 ,5 
United States,Grenache-Mourvèdre,28 ,87 ,5 
United States,Symphony,16 ,85 ,5 
Uruguay,Pinot Noir,19 ,85 ,5 
Argentina,Cabernet Franc-Malbec,59 ,91 ,4 
Argentina,Malbec-Petit Verdot,40 ,91 ,4 
Argentina,Nebbiolo,64 ,89 ,4 
Argentina,Tannat,22 ,87 ,4 
Australia,Grenache-Shiraz,26 ,88 ,4 
Brazil,Moscato,15 ,84 ,4 
Brazil,Cabernet Sauvignon,27 ,83 ,4 
Bulgaria,White Blend,16 ,88 ,4 
Bulgaria,Rosé,11 ,86 ,4 
Bulgaria,Traminer,11 ,86 ,4 
Bulgaria,Muskat Ottonel,11 ,84 ,4 
Canada,Pinot Gris,19 ,90 ,4 
Chile,Cinsault,27 ,89 ,4 
Chile,Petite Sirah,31 ,88 ,4 
Chile,Muscat,22 ,85 ,4 
Chile,Moscato,7 ,81 ,4 
Croatia,Babić,35 ,89 ,4 
Croatia,Malvasia Istriana,17 ,88 ,4 
Croatia,White Blend,31 ,86 ,4 
France,Syrah-Mourvèdre,21 ,91 ,4 
France,Muscadelle,38 ,90 ,4 
France,Syrah-Viognier,66 ,90 ,4 
France,Rolle,22 ,88 ,4 
France,Viognier-Chardonnay,17 ,88 ,4 
France,Fer Servadou,17 ,87 ,4 
France,Mansois,17 ,87 ,4 
France,Tannat-Syrah,10 ,87 ,4 
Georgia,Red Blend,18 ,89 ,4 
Georgia,Mtsvane,18 ,88 ,4 
Germany,Elbling,16 ,88 ,4 
Germany,Muskateller,27 ,87 ,4 
Greece,Malagouzia,20 ,89 ,4 
Greece,Robola,23 ,88 ,4 
Greece,Roditis,17 ,87 ,4 
Greece,Vilana,15 ,87 ,4 
Hungary,Cabernet Franc,53 ,87 ,4 
Hungary,Rosé,18 ,87 ,4 
India,Shiraz,16 ,92 ,4 
Israel,Syrah-Mourvèdre,33 ,90 ,4 
Italy,Bovale,30 ,90 ,4 
Italy,Veltliner,30 ,90 ,4 
Italy,Magliocco,30 ,89 ,4 
Italy,Monica,16 ,87 ,4 
Italy,Pignoletto,16 ,85 ,4 
Morocco,Syrah,18 ,90 ,4 
New Zealand,Cabernet Sauvignon-Merlot,32 ,90 ,4 
Peru,Red Blend,29 ,85 ,4 
Portugal,Sémillon,31 ,90 ,4 
Portugal,Códega do Larinho,18 ,88 ,4 
Portugal,Riesling,20 ,88 ,4 
Portugal,Tinta Barroca,18 ,87 ,4 
Portugal,Vinhão,22 ,86 ,4 
Romania,Feteascǎ Regalǎ,10 ,87 ,4 
Romania,Riesling,86 ,84 ,4 
Slovenia,Bordeaux-style Red Blend,40 ,89 ,4 
Slovenia,Chardonnay,18 ,89 ,4 
Slovenia,Red Blend,26 ,89 ,4 
Slovenia,Riesling,30 ,87 ,4 
South Africa,Cabernet Sauvignon-Shiraz,18 ,90 ,4 
Spain,Mazuelo,78 ,88 ,4 
Spain,Merlot-Cabernet Sauvignon,17 ,86 ,4 
Spain,Macabeo-Chardonnay,12 ,85 ,4 
Spain,Sauvignon Blanc-Verdejo,12 ,85 ,4 
Turkey,Boğazkere,26 ,90 ,4 
Turkey,Emir,16 ,87 ,4 
United States,Grenache Blend,38 ,90 ,4 
United States,Syrah-Cabernet Franc,69 ,90 ,4 
United States,Sangiovese Cabernet,48 ,89 ,4 
United States,Nero d'Avola,29 ,88 ,4 
United States,Sagrantino,48 ,87 ,4 
United States,Saperavi,30 ,86 ,4 
United States,Semillon-Chardonnay,14 ,86 ,4 
United States,Verdejo,18 ,86 ,4 
Argentina,Malbec-Cabernet,113 ,92 ,3 
Argentina,Syrah-Viognier,58 ,91 ,3 
Argentina,Cabernet Franc-Cabernet Sauvignon,41 ,89 ,3 
Argentina,Rosado,12 ,87 ,3 
Argentina,Cabernet Sauvignon-Shiraz,10 ,85 ,3 
Argentina,Malbec-Tannat,37 ,85 ,3 
Australia,Chardonnay-Semillon,18 ,90 ,3 
Australia,Tempranillo,22 ,90 ,3 
Australia,Cabernet Blend,37 ,89 ,3 
Australia,Zinfandel,29 ,88 ,3 
Australia,Shiraz-Cabernet,56 ,87 ,3 
Australia,Vermentino,16 ,86 ,3 
Austria,Merlot,35 ,91 ,3 
Austria,Sauvignon Blanc-Chardonnay,35 ,91 ,3 
Austria,Gewürztraminer,21 ,89 ,3 
Austria,Muskat,13 ,89 ,3 
Brazil,Red Blend,36 ,85 ,3 
Bulgaria,Syrah,24 ,89 ,3 
Bulgaria,Viognier,15 ,89 ,3 
Bulgaria,Riesling,13 ,85 ,3 
Canada,Rhône-style White Blend,25 ,91 ,3 
Canada,Rosé,20 ,87 ,3 
Chile,Cabernet Sauvignon-Malbec,16 ,86 ,3 
Chile,Champagne Blend,15 ,83 ,3 
CyprUnited States,Red Blend,17 ,87 ,3 
France,Carignan-Syrah,59 ,91 ,3 
France,Grenache Blanc,36 ,91 ,3 
France,Romorantin,23 ,91 ,3 
France,Marsanne-Roussanne,42 ,89 ,3 
France,Merlot-Tannat,18 ,89 ,3 
France,Sauvignon,22 ,89 ,3 
France,Syrah-Carignan,19 ,89 ,3 
France,Sauvignon Blanc-Chardonnay,18 ,88 ,3 
France,Chardonnay-Sauvignon,15 ,87 ,3 
France,Grolleau,39 ,87 ,3 
France,Poulsard,26 ,87 ,3 
France,Cinsault,14 ,86 ,3 
France,Cabernet Sauvignon-Merlot,10 ,85 ,3 
Georgia,Sparkling Blend,13 ,85 ,3 
Germany,Pinot Grigio,13 ,88 ,3 
Germany,St. Laurent,38 ,87 ,3 
Greece,Cabernet Sauvignon-Merlot,21 ,88 ,3 
Hungary,Muscat,15 ,88 ,3 
Hungary,Sparkling Blend,12 ,84 ,3 
India,Chenin Blanc,11 ,89 ,3 
Israel,Rhône-style Red Blend,23 ,92 ,3 
Israel,Cabernet Merlot,40 ,90 ,3 
Israel,Marselan,41 ,89 ,3 
Israel,Moscato,13 ,89 ,3 
Israel,Argaman,41 ,88 ,3 
Israel,Chardonnay-Sauvignon Blanc,12 ,88 ,3 
Israel,Marawi,35 ,88 ,3 
Israel,Barbera,22 ,85 ,3 
Italy,Lambrusco Salamino,20 ,89 ,3 
Italy,Verduzzo Friulano ,54 ,89 ,3 
Italy,Cabernet Blend,47 ,88 ,3 
Italy,Canaiolo,41 ,88 ,3 
Italy,Ciliegiolo,31 ,88 ,3 
Italy,Erbaluce,29 ,88 ,3 
Italy,Incrocio Manzoni,26 ,88 ,3 
Italy,Malvasia Bianca,26 ,88 ,3 
Italy,Nuragus,16 ,88 ,3 
Italy,Petit Manseng,39 ,88 ,3 
Italy,Pugnitello,49 ,88 ,3 
Italy,Trebbiano di Lugana,29 ,88 ,3 
Italy,Marzemino,52 ,86 ,3 
Italy,Malvasia Istriana,19 ,85 ,3 
Italy,Asprinio,15 ,84 ,3 
Macedonia,Vranec,17 ,87 ,3 
Macedonia,Pinot Noir,15 ,86 ,3 
Mexico,Petite Sirah,14 ,85 ,3 
Mexico,Chenin Blanc,13 ,83 ,3 
Moldova,Pinot Grigio,13 ,87 ,3 
Moldova,Sauvignon Blanc,13 ,86 ,3 
Morocco,Chardonnay,18 ,88 ,3 
Morocco,Syrah-Grenache,33 ,87 ,3 
Morocco,White Blend,15 ,86 ,3 
New Zealand,Chenin Blanc,26 ,90 ,3 
New Zealand,Gewürztraminer,21 ,88 ,3 
New Zealand,Merlot-Malbec,20 ,87 ,3 
New Zealand,Pinot Grigio,15 ,87 ,3 
New Zealand,Sauvignon Blanc-Semillon,25 ,86 ,3 
Portugal,Rhône-style Red Blend,45 ,93 ,3 
Portugal,Cerceal,45 ,90 ,3 
Portugal,Chenin Blanc,20 ,90 ,3 
Portugal,Shiraz,13 ,90 ,3 
Portugal,Tinta Francisca,50 ,90 ,3 
Portugal,Tinta Miúda,19 ,88 ,3 
Portugal,Azal,14 ,86 ,3 
Romania,Pinot Gris,16 ,87 ,3 
Romania,White Blend,14 ,86 ,3 
Serbia,Red Blend,41 ,89 ,3 
Serbia,Riesling,21 ,87 ,3 
Slovenia,Cabernet Sauvignon,36 ,89 ,3 
Slovenia,Pinot Gris,29 ,89 ,3 
Slovenia,Rebula,23 ,88 ,3 
Slovenia,Sauvignon,25 ,87 ,3 
South Africa,Cabernet Franc,28 ,90 ,3 
South Africa,Moscato,7 ,84 ,3 
Spain,Cabernet Sauvignon-Syrah,30 ,90 ,3 
Spain,Grenache-Syrah,13 ,88 ,3 
Spain,Listán Negro,28 ,88 ,3 
Spain,Garnacha-Monastrell,12 ,87 ,3 
Spain,Treixadura,17 ,87 ,3 
Spain,Tinta del Toro,23 ,86 ,3 
Spain,Malvasia-Viura,18 ,85 ,3 
Spain,Moscatel de Alejandría,19 ,85 ,3 
Spain,Airen,9 ,82 ,3 
Turkey,Bordeaux-style Red Blend,29 ,88 ,3 
Turkey,Rosé,16 ,88 ,3 
Turkey,Papaskarasi,21 ,87 ,3 
United States,Ugni Blanc,27 ,91 ,3 
United States,Sherry,22 ,90 ,3 
United States,Trousseau Gris,24 ,90 ,3 
United States,Cabernet Sauvignon-Malbec,37 ,89 ,3 
United States,Gewürztraminer-Riesling,30 ,89 ,3 
United States,Touriga,46 ,89 ,3 
United States,Edelzwicker,20 ,88 ,3 
United States,Mataro,23 ,87 ,3 
United States,Souzao,28 ,87 ,3 
United States,Chardonnay-Semillon,21 ,86 ,3 
United States,Trebbiano,21 ,86 ,3 
United States,Vidal,18 ,86 ,3 
United States,Jacquez,34 ,85 ,3 
Uruguay,Rosé,18 ,84 ,3 
Uruguay,Chardonnay,14 ,81 ,3 
Argentina,Malbec Blend,67 ,91 ,2 
Argentina,Malbec-Tempranillo,11 ,87 ,2 
Argentina,Cabernet Sauvignon-Syrah,15 ,86 ,2 
Argentina,Riesling,15 ,86 ,2 
Argentina,Chardonnay-Sauvignon,13 ,85 ,2 
Argentina,Chenin Blanc,16 ,84 ,2 
Argentina,Sangiovese,18 ,82 ,2 
Australia,Cabernet Sauvignon-Merlot-Shiraz,20 ,91 ,2 
Australia,Shiraz-Malbec,20 ,90 ,2 
Australia,Shiraz-Mourvèdre,19 ,89 ,2 
Australia,Marsanne-Roussanne,43 ,88 ,2 
Australia,Savagnin,15 ,88 ,2 
Australia,Durif,33 ,86 ,2 
Austria,Rosenmuskateller,150 ,93 ,2 
Austria,Furmint,15 ,92 ,2 
Austria,Bordeaux-style Red Blend,37 ,91 ,2 
Austria,Chardonnay-Pinot Blanc,48 ,91 ,2 
Austria,Sauvignon,26 ,89 ,2 
Austria,Moscato,19 ,87 ,2 
Brazil,Moscatel,23 ,87 ,2 
Brazil,Merlot-Cabernet Sauvignon,39 ,86 ,2 
Brazil,Pinot Noir,25 ,86 ,2 
Brazil,Bordeaux-style Red Blend,23 ,84 ,2 
Bulgaria,Bordeaux-style Red Blend,28 ,91 ,2 
Bulgaria,Cabernet Franc,19 ,88 ,2 
Canada,Viognier,24 ,88 ,2 
Chile,Sauvignon Blanc-Semillon,12 ,88 ,2 
Chile,Sémillon,16 ,87 ,2 
Chile,Cabernet Franc-Carmenère,12 ,86 ,2 
Chile,Tempranillo,18 ,86 ,2 
Chile,Malbec-Syrah,13 ,84 ,2 
Croatia,Zlahtina,15 ,86 ,2 
Croatia,Rosé,21 ,85 ,2 
Croatia,Welschriesling,14 ,85 ,2 
CyprUnited States,Xynisteri,19 ,87 ,2 
Czech Republic,Red Blend,45 ,89 ,2 
Czech Republic,Cabernet Moravia,18 ,87 ,2 
Czech Republic,Sauvignon Blanc,16 ,86 ,2 
England,White Blend,45 ,89 ,2 
France,Verdelho,,92 ,2 
France,Grenache-Carignan,20 ,90 ,2 
France,Abouriou,15 ,89 ,2 
France,Nielluciu,23 ,89 ,2 
France,Cabernet Sauvignon-Syrah,14 ,88 ,2 
France,Chardonnay-Sauvignon Blanc,16 ,88 ,2 
France,Pinot Blanc-Chardonnay,25 ,88 ,2 
France,Shiraz,21 ,88 ,2 
France,Gamay Noir,19 ,87 ,2 
France,Merlot-Malbec,14 ,87 ,2 
France,Sacy,19 ,87 ,2 
France,Sauvignon Gris,14 ,87 ,2 
France,Moscato,8 ,86 ,2 
France,Muscat Blanc à Petits Grains,12 ,86 ,2 
France,Syrah-Merlot,11 ,86 ,2 
Georgia,Other,27 ,89 ,2 
Georgia,Saperavi-Merlot,18 ,87 ,2 
Georgia,Chinuri,23 ,86 ,2 
Germany,Bacchus,,91 ,2 
Germany,Trollinger,22 ,91 ,2 
Germany,Müller-Thurgau,19 ,90 ,2 
Germany,Auxerrois,20 ,89 ,2 
Germany,Chardonnay-Pinot Blanc,25 ,87 ,2 
Germany,Rivaner,17 ,87 ,2 
Greece,Mandilaria,25 ,89 ,2 
Greece,Plyto,20 ,87 ,2 
Greece,Cabernet Blend,30 ,85 ,2 
Greece,Muscat of Alexandria,17 ,85 ,2 
Greece,Traminer,18 ,85 ,2 
Hungary,Hárslevelü,28 ,90 ,2 
Hungary,Syrah,25 ,89 ,2 
Hungary,Kadarka,24 ,88 ,2 
India,Sauvignon Blanc,12 ,90 ,2 
Israel,Petit Verdot,53 ,91 ,2 
Israel,Chenin Blanc,30 ,88 ,2 
Israel,Cabernet Blend,65 ,87 ,2 
Israel,Sparkling Blend,29 ,87 ,2 
Israel,Rhône-style White Blend,20 ,85 ,2 
Israel,Tempranillo,21 ,83 ,2 
Italy,Roviello,28 ,93 ,2 
Italy,Sirica,23 ,93 ,2 
Italy,Cabernet Sauvignon-Merlot,62 ,92 ,2 
Italy,Nasco,38 ,91 ,2 
Italy,Torbato,20 ,91 ,2 
Italy,Vitovska,85 ,91 ,2 
Italy,Bordeaux-style Red Blend,57 ,90 ,2 
Italy,Cesanese,20 ,90 ,2 
Italy,Mondeuse,48 ,90 ,2 
Italy,Moscato Rosa,34 ,90 ,2 
Italy,Malbec,30 ,89 ,2 
Italy,Albarossa,40 ,88 ,2 
Italy,Rebo,27 ,88 ,2 
Italy,Uvalino,29 ,88 ,2 
Italy,Vespolina,25 ,88 ,2 
Italy,Ansonica,26 ,87 ,2 
Italy,Bombino Bianco,30 ,87 ,2 
Italy,Freisa,21 ,87 ,2 
Italy,Groppello,23 ,87 ,2 
Italy,Malvasia di Candia,23 ,87 ,2 
Italy,Grignolino,17 ,86 ,2 
Italy,Pigato,23 ,84 ,2 
Italy,Gragnano,17 ,83 ,2 
Lebanon,Syrah-Cabernet Sauvignon,35 ,91 ,2 
Luxembourg,Sparkling Blend,28 ,89 ,2 
Luxembourg,Riesling,23 ,88 ,2 
Mexico,Muscatel,19 ,87 ,2 
Mexico,White Blend,20 ,86 ,2 
Mexico,Rosé,23 ,83 ,2 
Mexico,Tempranillo,24 ,83 ,2 
Moldova,Bordeaux-style Red Blend,35 ,90 ,2 
Moldova,Rara Neagra,18 ,90 ,2 
Moldova,Traminer,13 ,89 ,2 
Moldova,Chardonnay,20 ,87 ,2 
Moldova,Feteascǎ Regalǎ,11 ,87 ,2 
Moldova,Merlot,9 ,87 ,2 
Moldova,Pinot Gris,9 ,86 ,2 
New Zealand,Cabernet Merlot,25 ,90 ,2 
New Zealand,Merlot-Cabernet,29 ,88 ,2 
New Zealand,Cabernet Sauvignon,18 ,87 ,2 
New Zealand,Sauvignon,15 ,85 ,2 
Peru,Malbec,15 ,85 ,2 
Peru,White Blend,10 ,83 ,2 
Portugal,Baga-Touriga Nacional,40 ,91 ,2 
Portugal,Petite Verdot,33 ,91 ,2 
Portugal,Tinta Cao,14 ,90 ,2 
Portugal,Gouveio,23 ,89 ,2 
Portugal,Rabigato,34 ,89 ,2 
Portugal,Madeira Blend,49 ,88 ,2 
Portugal,Malvasia Fina,24 ,88 ,2 
Portugal,Maria Gomes,11 ,88 ,2 
Portugal,Moscatel Graúdo,13 ,88 ,2 
Portugal,Muscat,9 ,87 ,2 
Portugal,Gewürztraminer,20 ,85 ,2 
Romania,Tămâioasă Românească,11 ,88 ,2 
Serbia,Tamjanika,18 ,88 ,2 
Serbia,Portuguiser,15 ,86 ,2 
Slovenia,Teran,22 ,89 ,2 
Slovenia,Rosé,24 ,88 ,2 
Slovenia,Malvasia Istriana,30 ,87 ,2 
Slovenia,Moscato,11 ,87 ,2 
South Africa,Muscat,70 ,95 ,2 
South Africa,Bordeaux-style White Blend,55 ,91 ,2 
South Africa,Cinsault,58 ,91 ,2 
South Africa,Grenache-Syrah,65 ,91 ,2 
South Africa,Sauvignon Blanc-Semillon,31 ,91 ,2 
South Africa,Semillon-Sauvignon Blanc,30 ,91 ,2 
South Africa,G-S-M,44 ,89 ,2 
South Africa,Syrah-Viognier,20 ,89 ,2 
South Africa,Cabernet Blend,47 ,88 ,2 
South Africa,Sauvignon Blanc-Chenin Blanc,13 ,87 ,2 
Spain,Tinta del Pais,48 ,95 ,2 
Spain,Cariñena-Garnacha,31 ,90 ,2 
Spain,Syrah-Petit Verdot,35 ,90 ,2 
Spain,Garnacha Blend,19 ,88 ,2 
Spain,Monastrell-Petit Verdot,20 ,88 ,2 
